record_id,operation,num_input_table,num_groupby_key,num_aggregation_ops,rowNum_input_table,colNum_input_table,rowNum_output_table,colNum_output_table,CPU(ms),FPGA(ms),label(0_CPU/1_FPGA)
0,aggregate,1,1,1,6000000,2,3,2,80.886,32.615,1
1,aggregate,1,1,1,1500000,2,3,2,17.587,9.07,1
2,aggregate,1,1,1,375000,2,3,2,4.382,2.984,1
3,aggregate,1,1,1,93750,2,3,2,1.133,1.475,0
4,aggregate,1,1,1,23438,2,3,2,0.289,1.048,0
5,aggregate,1,1,1,5860,2,3,2,0.076,0.833,0
6,aggregate,1,1,1,1465,2,3,2,0.022,0.961,0
7,aggregate,1,1,2,6000000,3,3,3,77.428,40.158,1
8,aggregate,1,1,2,1500000,3,3,3,19.765,10.892,1
9,aggregate,1,1,2,375000,3,3,3,4.6,3.358,1
10,aggregate,1,1,2,93750,3,3,3,1.192,1.527,0
11,aggregate,1,1,2,23438,3,3,3,0.287,1.094,0
12,aggregate,1,1,2,5860,3,3,3,0.078,0.913,0
13,aggregate,1,1,2,1465,3,3,3,0.025,0.963,0
14,aggregate,1,1,4,6000000,3,3,5,83.518,40.228,1
15,aggregate,1,1,4,1500000,3,3,5,20.956,11.36,1
16,aggregate,1,1,4,375000,3,3,5,5.208,3.503,1
17,aggregate,1,1,4,93750,3,3,5,1.341,1.402,0
18,aggregate,1,1,4,23438,3,3,5,0.354,0.964,0
19,aggregate,1,1,4,5860,3,3,5,0.098,0.881,0
20,aggregate,1,1,4,1465,3,3,5,0.034,0.922,0
21,aggregate,1,2,4,6000000,4,4,6,90.414,46.749,1
22,aggregate,1,2,4,1500000,4,4,6,22.464,12.575,1
23,aggregate,1,2,4,375000,4,4,6,5.471,3.869,1
24,aggregate,1,2,4,93750,4,4,6,1.414,1.616,0
25,aggregate,1,2,4,23438,4,4,6,0.375,1.133,0
26,aggregate,1,2,4,5860,4,4,6,0.106,0.921,0
27,aggregate,1,2,4,1465,4,4,6,0.039,0.923,0
28,aggregate,1,3,4,6000000,5,4151,7,232.149,57.376,1
29,aggregate,1,3,4,1500000,5,4130,7,51.595,15.542,1
30,aggregate,1,3,4,375000,5,4101,7,13.345,5.336,1
31,aggregate,1,3,4,93750,5,4015,7,3.694,2.762,1
32,aggregate,1,3,4,23438,5,3857,7,1.426,2.066,0
33,aggregate,1,3,4,5860,5,2828,7,0.691,1.679,0
34,aggregate,1,3,4,1465,5,1166,7,0.311,1.685,0
35,aggregate,1,2,4,1500000,5,1464556,6,1185.97,193.415,1
36,aggregate,1,2,4,375000,5,372775,6,323.831,48.419,1
37,aggregate,1,2,4,93750,5,93631,6,33.275,11.375,1
38,aggregate,1,2,4,23438,5,23430,6,5.034,4.242,1
39,aggregate,1,2,4,5860,5,5860,6,0.961,1.892,0
40,aggregate,1,2,4,1465,5,1465,6,0.288,1.486,0
41,aggregate,1,3,1,1500000,3,1500000,4,978.478,158.139,1
42,aggregate,1,3,1,375000,3,375000,4,192.467,36.386,1
43,aggregate,1,3,1,93750,3,93750,4,21.744,14.623,1
44,aggregate,1,3,1,23438,3,23438,4,3.978,3.979,0
45,aggregate,1,3,1,5860,3,5860,4,0.827,1.886,0
46,aggregate,1,3,1,1465,3,1465,4,0.198,1.4,0
