record_id,operation,num_input_table,num_key,key_name,name_left_table,name_right_table,rowNum_left_table,rowNum_right_table,rowNum_output_table,colNum_left_table,colNum_right_table,colNum_output_table,cpu_exe_time (ms),fpga_exe_time (ms),label(0_CPU/1_FPGA)
0,anti join,2,1,regionkey,region,nation,5,25,0,2,1,1,0.027,0.993,0
1,anti join,2,1,nationkey,nation,supplier,25,10000,0,2,1,1,0.588,3.072,0
2,anti join,2,1,nationkey,nation,supplier,25,2000,0,2,1,1,0.122,1.208,0
3,anti join,2,1,nationkey,nation,supplier,25,400,0,2,1,1,0.033,0.921,0
4,anti join,2,1,nationkey,nation,supplier,25,80,0,2,1,1,0.013,0.792,0
5,anti join,2,1,nationkey,nation,customer,25,150000,0,2,1,1,7.445,26.985,0
6,anti join,2,1,nationkey,nation,customer,25,30000,0,2,1,1,0.903,6.139,0
7,anti join,2,1,nationkey,nation,customer,25,6000,0,2,1,1,0.181,2.06,0
8,anti join,2,1,nationkey,nation,customer,25,1200,0,2,1,1,0.04,1.157,0
9,anti join,2,1,nationkey,nation,customer,25,240,0,2,1,1,0.012,0.719,0
10,anti join,2,1,nationkey,nation,customer,25,48,0,2,1,1,0.006,0.826,0
11,anti join,2,1,nationkey,customer,nation,150000,25,0,2,1,1,3.308,3.027,1
12,anti join,2,1,nationkey,customer,nation,30000,25,0,2,1,1,0.666,1.132,0
13,anti join,2,1,nationkey,customer,nation,6000,25,0,2,1,1,0.14,0.896,0
14,anti join,2,1,nationkey,customer,nation,1200,25,0,2,1,1,0.033,0.924,0
15,anti join,2,1,nationkey,customer,nation,240,25,0,2,1,1,0.012,0.94,0
16,anti join,2,1,nationkey,customer,nation,48,25,0,2,1,1,0.008,0.761,0
17,anti join,2,1,nationkey,supplier,customer,10000,150000,0,2,1,1,5.507,631.707,0
18,anti join,2,1,nationkey,supplier,customer,10000,30000,0,2,1,1,0.973,132.325,0
19,anti join,2,1,nationkey,supplier,customer,10000,6000,0,2,1,1,0.368,33.821,0
20,anti join,2,1,nationkey,supplier,customer,10000,1200,0,2,1,1,0.289,12.653,0
21,anti join,2,1,nationkey,supplier,customer,10000,240,0,2,1,1,0.279,8.959,0
22,anti join,2,1,nationkey,supplier,customer,10000,48,0,2,1,1,0.276,8.52,0
23,anti join,2,1,nationkey,supplier,customer,2000,150000,0,2,1,1,1.891,96.789,0
