record_id,operation,num_input_table,num_key,key_name,name_left_table,name_right_table,rowNum_left_table,rowNum_right_table,rowNum_output_table,colNum_left_table,colNum_right_table,colNum_output_table,cpu_exe_time(ms),fpga_exe_time(ms),label(0_CPU/1_FPGA),
0,inner join,2,1,regionkey,region,nation,5,25,25,1,2,1,0.023,1.157,0,
1,inner join,2,1,regionkey,region,nation,5,25,25,1,3,2,0.012,1.179,0,
2,inner join,2,1,nationkey,nation,region,25,5,25,2,1,1,0.023,1.188,0,
3,inner join,2,1,nationkey,nation,region,25,5,25,3,1,2,0.012,1.219,0,
4,inner join,2,1,nationkey,nation,supplier,25,10000,10000,1,2,1,1.022,1.349,0,
5,inner join,2,1,nationkey,nation,supplier,25,10000,10000,1,3,2,1.263,1.295,0,
6,inner join,2,1,nationkey,nation,supplier,25,5000,5000,1,2,1,0.276,1.071,0,
7,inner join,2,1,nationkey,nation,supplier,25,5000,5000,1,3,2,0.467,1.331,0,
8,inner join,2,1,nationkey,supplier,nation,10000,25,10000,2,1,1,2.452,2.984,0,
9,inner join,2,1,nationkey,supplier,nation,10000,25,10000,3,1,2,3.242,3.06,1,
10,inner join,2,1,nationkey,supplier,nation,5000,25,5000,2,1,1,1.374,2.243,0,
11,inner join,2,1,nationkey,supplier,nation,5000,25,5000,3,1,2,1.906,2.309,0,
12,inner join,2,1,nationkey,nation,customer,25,150000,150000,2,1,1,11.55,2.802,1,
13,inner join,2,1,nationkey,nation,customer,25,150000,150000,3,1,2,11.872,2.963,1,
14,inner join,2,1,nationkey,nation,customer,25,100000,100000,2,1,1,7.085,2.237,1,
15,inner join,2,1,nationkey,nation,customer,25,100000,100000,3,1,2,7.582,2.327,1,
16,inner join,2,1,nationkey,nation,customer,25,50000,50000,2,1,1,3.453,1.556,1,
17,inner join,2,1,nationkey,nation,customer,25,50000,50000,3,1,2,4.289,1.744,1,
18,inner join,2,1,nationkey,customer,nation,150000,25,150000,1,2,1,28.28,26.9,1,
19,inner join,2,1,nationkey,customer,nation,150000,25,150000,1,3,2,27.723,26.919,1,
20,inner join,2,1,nationkey,customer,nation,100000,25,100000,1,2,1,20.827,18.68,1,
21,inner join,2,1,nationkey,customer,nation,100000,25,100000,1,3,2,19.128,18.645,1,
22,inner join,2,1,nationkey,customer,nation,50000,25,50000,1,2,1,10.198,9.992,1,
23,inner join,2,1,nationkey,customer,nation,50000,25,50000,1,3,2,9.675,9.945,0,
24,inner join,2,1,nationkey,supplier,customer,10000,150000,60000414,1,2,1,987.382,689.142,1,
25,inner join,2,1,nationkey,supplier,customer,10000,150000,60000414,1,3,2,1010.57,753.357,1,
26,inner join,2,1,nationkey,supplier,customer,5000,150000,29997191,1,2,1,381.911,340.416,1,
27,inner join,2,1,nationkey,supplier,customer,5000,150000,29997191,1,3,2,464.944,362.101,1,
28,inner join,2,1,nationkey,supplier,customer,10000,100000,40005569,1,2,1,691.093,474.911,1,
29,inner join,2,1,nationkey,supplier,customer,10000,100000,40005569,1,3,2,716.63,527.808,1,
30,inner join,2,1,nationkey,supplier,customer,5000,100000,20002543,1,2,1,276.745,226.195,1,
31,inner join,2,1,nationkey,supplier,customer,5000,100000,20002543,1,3,2,334.585,253.245,1,
32,inner join,2,1,nationkey,supplier,customer,10000,50000,20003476,1,2,1,326.979,237.542,1,
33,inner join,2,1,nationkey,supplier,customer,10000,50000,20003476,1,3,2,335.385,259.73,1,
34,inner join,2,1,nationkey,supplier,customer,5000,50000,10001755,1,2,1,148.963,113.342,1,
35,inner join,2,1,nationkey,supplier,customer,5000,50000,10001755,1,3,2,160.192,125.972,1,
36,inner join,2,1,nationkey,customer,supplier,150000,10000,60000414,2,1,1,2611.77,765.136,1,
37,inner join,2,1,nationkey,customer,supplier,150000,10000,60000414,3,1,2,3425.37,818.445,1,
38,inner join,2,1,nationkey,customer,supplier,150000,5000,29997191,2,1,1,1177.98,388.608,1,
39,inner join,2,1,nationkey,customer,supplier,150000,5000,29997191,3,1,2,1081.89,423.598,1,
40,inner join,2,1,nationkey,customer,supplier,100000,10000,40005569,2,1,1,1278.42,493.255,1,
41,inner join,2,1,nationkey,customer,supplier,100000,10000,40005569,3,1,2,1226.15,546.92,1,
42,inner join,2,1,nationkey,customer,supplier,100000,5000,20002543,2,1,1,604.757,266.592,1,
43,inner join,2,1,nationkey,customer,supplier,100000,5000,20002543,3,1,2,652.639,290.545,1,
44,inner join,2,1,nationkey,customer,supplier,50000,10000,20003476,2,1,1,538.046,248.258,1,
45,inner join,2,1,nationkey,customer,supplier,50000,10000,20003476,3,1,2,557.851,280.613,1,
46,inner join,2,1,nationkey,customer,supplier,50000,5000,10001755,2,1,1,272.168,128.904,1,
47,inner join,2,1,nationkey,customer,supplier,50000,5000,10001755,3,1,2,289.914,144.803,1,
48,inner join,2,1,custkey,customer,orders,150000,1500000,1500000,1,2,1,83.012,26.178,1,
49,inner join,2,1,custkey,customer,orders,150000,1250000,1250000,1,2,1,69.674,22.886,1,
50,inner join,2,1,custkey,customer,orders,150000,1000000,1000000,1,2,1,57.855,19.944,1,
51,inner join,2,1,custkey,customer,orders,150000,750000,750000,1,2,1,45.812,17.228,1,
52,inner join,2,1,custkey,customer,orders,150000,500000,500000,1,2,1,34.264,14.44,1,
53,inner join,2,1,custkey,customer,orders,150000,100000,100000,1,2,1,15.88,9.972,1,
54,inner join,2,1,custkey,customer,orders,150000,50000,50000,1,2,1,14.056,9.476,1,
55,inner join,2,1,custkey,customer,orders,150000,10000,10000,1,2,1,11.437,9.024,1,
56,inner join,2,1,custkey,customer,orders,150000,5000,5000,1,2,1,12.079,8.963,1,
57,inner join,2,1,custkey,customer,orders,125000,1500000,1250106,1,2,1,75.797,22.471,1,
58,inner join,2,1,custkey,customer,orders,125000,1250000,1041751,1,2,1,66.362,19.602,1,
59,inner join,2,1,custkey,customer,orders,125000,1000000,833601,1,2,1,53.969,17.086,1,
60,inner join,2,1,custkey,customer,orders,125000,750000,625231,1,2,1,42.679,14.727,1,
61,inner join,2,1,custkey,customer,orders,125000,500000,416824,1,2,1,31.436,12.38,1,
62,inner join,2,1,custkey,customer,orders,125000,100000,83511,1,2,1,14.66,8.504,1,
63,inner join,2,1,custkey,customer,orders,125000,50000,41779,1,2,1,13.287,8.073,1,
64,inner join,2,1,custkey,customer,orders,125000,10000,8285,1,2,1,11.265,7.679,1,
65,inner join,2,1,custkey,customer,orders,125000,5000,4112,1,2,1,11.099,7.56,1,
66,inner join,2,1,custkey,customer,orders,100000,1500000,999761,1,2,1,79.729,18.549,1,
67,inner join,2,1,custkey,customer,orders,100000,1250000,833169,1,2,1,67.34,16.421,1,
68,inner join,2,1,custkey,customer,orders,100000,1000000,666455,1,2,1,54.559,14.273,1,
69,inner join,2,1,custkey,customer,orders,100000,750000,499945,1,2,1,44.555,12.178,1,
70,inner join,2,1,custkey,customer,orders,100000,500000,333426,1,2,1,31.094,10.294,1,
71,inner join,2,1,custkey,customer,orders,100000,100000,66713,1,2,1,12.415,7.055,1,
72,inner join,2,1,custkey,customer,orders,100000,50000,33391,1,2,1,9.804,6.746,1,
73,inner join,2,1,custkey,customer,orders,100000,10000,6610,1,2,1,7.649,6.298,1,
74,inner join,2,1,custkey,customer,orders,100000,5000,3275,1,2,1,7.386,6.232,1,
75,inner join,2,1,custkey,customer,orders,75000,1500000,750089,1,2,1,75.537,14.472,1,
76,inner join,2,1,custkey,customer,orders,75000,1250000,625147,1,2,1,65.12,13.037,1,
77,inner join,2,1,custkey,customer,orders,75000,1000000,500286,1,2,1,52.238,11.257,1,
