record_id,operation,num_input_table,num_key,key_name,name_left_table,name_right_table,rowNum_left_table,rowNum_right_table,rowNum_output_table,colNum_left_table,colNum_right_table,colNum_output_table,cpu_exe_time (ms),fpga_exe_time (ms),label(0_CPU/1_FPGA)
0,semi join,2,1,regionkey,region,nation,5,25,5,1,1,1,0.027,1.171,0
1,semi join,2,1,nationkey,nation,supplier,25,10000,25,1,1,1,1.054,3.34,0
2,semi join,2,1,nationkey,nation,supplier,25,2000,25,1,1,1,0.22,1.331,0
3,semi join,2,1,nationkey,nation,supplier,25,400,25,1,1,1,0.057,0.876,0
4,semi join,2,1,nationkey,nation,supplier,25,80,25,1,1,1,0.028,0.909,0
5,semi join,2,1,nationkey,supplier,nation,10000,25,10000,1,1,1,0.227,1.216,0
6,semi join,2,1,nationkey,supplier,nation,2000,25,2000,1,1,1,0.048,0.988,0
7,semi join,2,1,nationkey,supplier,nation,400,25,400,1,1,1,0.015,0.956,0
8,semi join,2,1,nationkey,supplier,nation,80,25,80,1,1,1,0.008,0.929,0
9,semi join,2,1,nationkey,nation,customer,25,150000,25,2,1,1,6.443,26.956,0
10,semi join,2,1,nationkey,nation,customer,25,30000,25,2,1,1,1.41,6.107,0
11,semi join,2,1,nationkey,nation,customer,25,6000,25,2,1,1,0.295,2.13,0
12,semi join,2,1,nationkey,nation,customer,25,1200,25,2,1,1,0.064,1.189,0
13,semi join,2,1,nationkey,nation,customer,25,240,25,2,1,1,0.018,0.885,0
14,semi join,2,1,nationkey,nation,customer,25,48,25,2,1,1,0.009,0.873,0
15,semi join,2,1,nationkey,customer,nation,150000,25,150000,2,1,1,3.44,3.398,1
16,semi join,2,1,nationkey,customer,nation,30000,25,30000,2,1,1,0.684,1.354,0
17,semi join,2,1,nationkey,customer,nation,6000,25,6000,2,1,1,0.143,0.934,0
18,semi join,2,1,nationkey,customer,nation,1200,25,1200,2,1,1,0.034,0.992,0
19,semi join,2,1,nationkey,customer,nation,240,25,240,2,1,1,0.011,0.936,0
20,semi join,2,1,nationkey,customer,nation,48,25,48,2,1,1,0.007,0.852,0
21,semi join,2,1,nationkey,supplier,customer,10000,150000,10000,2,1,1,6.216,683.768,0
22,semi join,2,1,nationkey,supplier,customer,10000,30000,10000,2,1,1,1.166,134.868,0
23,semi join,2,1,nationkey,supplier,customer,10000,6000,10000,2,1,1,0.363,26.694,0
24,semi join,2,1,nationkey,supplier,customer,10000,1200,10000,2,1,1,0.209,4.631,0
25,semi join,2,1,nationkey,supplier,customer,10000,240,10000,2,1,1,0.18,2.042,0
26,semi join,2,1,nationkey,supplier,customer,10000,48,8397,2,1,1,0.205,1.199,0
27,semi join,2,1,nationkey,supplier,customer,2000,150000,2000,2,1,1,5.013,152.491,0
28,semi join,2,1,nationkey,supplier,customer,2000,30000,2000,2,1,1,1.421,30.9,0
